num,dataset,variable group,Variable Type (SAS),core,variable,label,whereClause,dataType,length,fractionDigits,sasFieldName,codeList,displayFormat,role,mandatory,comment,method,methodName,note,lengthAsData,lengthAsCodeList,originType,originDescription,crfPages,VARIABLE_CODELIST
1,ADAE,Identifier Variables for BDS Datasets,Char,Req,STUDYID,Study Identifier,,text,11,,STUDYID,Study Identifier,,,Yes,,,,,TRUE,TRUE,Predecessor,ADSL.STUDYID,,
2,ADAE,Identifier Variables for BDS Datasets,Char,Req,USUBJID,Unique Subject Identifier,,text,18,,USUBJID,,,,Yes,,,,,TRUE,,Predecessor,ADSL.USUBJID,,
3,ADAE,ADSL Identifier Variables,Char,Req,SUBJID,Subject Identifier for the Study,,text,3,,SUBJID,,,,No,,,,,TRUE,,Predecessor,ADSL.SUBJID,,
4,ADAE,Identifier Variables for BDS Datasets,Char,Perm,SITEID,Study Site Identifier,,text,2,,SITEID,Study Site Identifier,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.SITEID,,
5,ADAE,ADSL Subject Demographics Variables,Num,Req,AGE,Age,,integer,2,,AGE,,,,No,,,,,TRUE,,Predecessor,ADSL.AGE,,
6,ADAE,ADSL Subject Demographics Variables,Char,Req,AGEU,Age Units,,text,5,,AGEU,Age Units,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.AGEU,,YEARS
7,ADAE,ADSL Subject Demographics Variables,Char,Req,SEX,Sex,,text,1,,SEX,Sex,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.SEX,,M@F
8,ADAE,ADSL Subject Demographics Variables,Char,Req,RACE,Race,,text,41,,RACE,Race,,,No,,,,,FALSE,TRUE,Predecessor,ADSL.RACE,,WHITE@OTHER@BLACK OR AFRICAN AMERICAN@ASIAN
9,ADAE,ADSL Population Indicator Variables,Char,Cond,SAFFL,Safety Population Flag,,text,1,,SAFFL,No Yes Response - N/Y,,,Yes,,,,,TRUE,TRUE,Predecessor,ADSL.SAFFL,,Y@N
10,ADAE,ADSL Population Indicator Variables (Sponsor-Defined),Char,,PKFL,Pharmacokinetic Analysis Population Flag,,text,1,,PKFL,No Yes Response - N/Y,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.PKFL,,Y
11,ADAE,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDT,Date of First Exposure to Treatment,,integer,5,,TRTSDT,,YYMMDD10.,,No,,,,,TRUE,,Predecessor,ADSL.TRTSDT,,
12,ADAE,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSTM,Time of First Exposure to Treatment,,integer,5,,TRTSTM,,TIME5.,,No,,,,,TRUE,,Predecessor,ADSL.TRTSTM,,
13,ADAE,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDTM,Datetime of First Exposure to Treatment,,integer,10,,TRTSDTM,,E8601DT16.,,No,,,,,TRUE,,Predecessor,ADSL.TRTSDTM,,
14,ADAE,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDT,Date of Last Exposure to Treatment,,integer,5,,TRTEDT,,YYMMDD10.,,No,,,,,TRUE,,Predecessor,ADSL.TRTEDT,,
